title,imdbid,production_countries
Sorceress,86340,United States of America
Sorceress,86340,Mexico
Silkwood,86312,United States of America
Educating Rita,85478,United Kingdom
The Hunger,85701,United Kingdom
The Ballad of Narayama,84390,Japan
El Norte,85482,United Kingdom
El Norte,85482,United States of America
Dark Habits,85496,Spain
Born in Flames,85267,United States of America
Lianna,85838,United States of America
Flashdance,85549,United States of America
Superman III,86393,United Kingdom
Superman III,86393,United States of America
Hercules,85672,Italy
Hercules,85672,United States of America
Jaws 3-D,85750,United States of America
Deadly Circuit,84358,France
Yentl,86619,United Kingdom
Yentl,86619,United States of America
Cujo,85382,United States of America
Barefoot Gen,85218,Japan
Wild Style,84904,United States of America
Suburbia,86589,United States of America
Risky Business,86200,United States of America
Women's Prison Massacre,85250,France
Women's Prison Massacre,85250,Italy
Conan the Destroyer,87078,United States of America
The Bostonians,86992,United Kingdom
The Bostonians,86992,United States of America
Nausicaä of the Valley of the Wind,87544,Japan
Police Academy,87928,United States of America
Amadeus,86879,United States of America
The Adventures of Buckaroo Banzai Across the 8th Dimension,86856,United States of America
What Have I Done to Deserve This?,88461,Spain
The Terminator,88247,United Kingdom
The Terminator,88247,United States of America
Sixteen Candles,88128,United States of America
The Karate Kid,87538,United States of America
Dune,87182,United States of America
Supergirl,88206,United Kingdom
Supergirl,88206,United States of America
Blame It on Rio,86973,United States of America
Love Streams,87644,United States of America
Night of the Comet,87799,United States of America
A Private Function,89838,United Kingdom
A Nightmare on Elm Street,87800,United States of America
A Nightmare on Elm Street,87800,United Kingdom
Purple Rain,87957,United States of America
Protocol,87951,United States of America
The Last Starfighter,87597,United States of America
The Muppets Take Manhattan,87755,United Kingdom
The Muppets Take Manhattan,87755,United States of America
A Passage to India,87892,United Kingdom
A Passage to India,87892,United States of America
Friday the 13th: The Final Chapter,87298,United States of America
Children of the Corn,87050,United States of America
Bachelor Party,86927,United States of America
Johnny Dangerously,87507,United States of America
"Silent Night, Deadly Night",88117,United States of America
The Holy Innocents,88040,Spain
Angel,86896,United States of America
Romancing the Stone,88011,Mexico
Romancing the Stone,88011,United States of America
The Initiation,87472,United States of America
Rhinestone,88001,United States of America
Emmanuelle 4,85486,France
Just One of the Guys,89393,United States of America
Red Sonja,89893,Netherlands
Red Sonja,89893,United States of America
When Father Was Away on Business,89748,Yugoslavia
Weird Science,90305,United States of America
Agnes of God,88683,United States of America
Girls Just Want to Have Fun,89208,United States of America
Brazil,88846,United Kingdom
Brazil,88846,United States of America
Anne of Green Gables,88727,United States of America
Anne of Green Gables,88727,Canada
Vagabond,89960,France
The Color Purple,88939,United States of America
Clue,88930,United States of America
A Room with a View,91867,United Kingdom
Dim Sum: A Little Bit of Heart,87150,United States of America
Desperately Seeking Susan,89017,United States of America
The Trip to Bountiful,90203,United States of America
The Black Cauldron,88814,United States of America
Wetherby,90310,United Kingdom
Return to Oz,89908,United Kingdom
Return to Oz,89908,United States of America
The Goonies,89218,United States of America
Better Off Dead...,88794,United States of America
Desert Hearts,89015,United States of America
A Chorus Line,88915,United States of America
Sweet Dreams,90110,United States of America
Legend,89469,United States of America
Legend,89469,United Kingdom
The Care Bears Movie,88885,Canada
Barbarian Queen,88771,Argentina
Barbarian Queen,88771,United States of America
Phenomena,87909,Italy
Phenomena,87909,Switzerland
The Official Story,89276,Argentina
The Purple Rose of Cairo,89853,United States of America
The Sure Thing,90103,United States of America
Friday the 13th: A New Beginning,89173,United States of America
Witness,90329,United States of America
The Legend of Billie Jean,89470,United States of America
A Nightmare on Elm Street Part 2: Freddy's Revenge,89686,United States of America
Out of Africa,89755,United States of America
Dreamchild,89052,United Kingdom
Flesh + Blood,89153,Netherlands
Flesh + Blood,89153,Spain
Flesh + Blood,89153,United States of America
Waiting for the Hearse,89108,Argentina
The Last Dragon,89461,United States of America
Short Circuit,91949,United States of America
Castle in the Sky,92067,Japan
Hannah and Her Sisters,91167,United States of America
The Clan of the Cave Bear,90848,United States of America
Jumpin' Jack Flash,91306,United States of America
Peggy Sue Got Married,91738,United States of America
Big Trouble in Little China,90728,United States of America
An American Tail,90633,United States of America
Star Trek IV: The Voyage Home,92007,United States of America
SpaceCamp,91993,United States of America
"'night, Mother",90556,United States of America
Crocodile Dundee,90555,Australia
Pretty in Pink,91790,United States of America
Hour of the Star,89297,Brazil
Flight of the Navigator,91059,United States of America
The Parent Trap II,91721,United States of America
Ruthless People,91877,United States of America
Howard the Duck,91225,United States of America
Rosa Luxemburg,91869,Czechoslovakia
Rosa Luxemburg,91869,Germany
Peking Opera Blues,90952,Hong Kong
Children of a Lesser God,90830,United States of America
April Fool's Day,90655,United States of America
From Beyond,91083,United States of America
Matador,91495,Spain
Chopping Mall,90837,United States of America
She's Gotta Have It,91939,United States of America
Under the Cherry Moon,92133,United States of America
About Last Night...,90583,United States of America
Friday the 13th Part VI: Jason Lives,91080,United States of America
Babette's Feast,92603,Denmark
Housekeeping,93225,United States of America
Overboard,93693,United States of America
Spaceballs,94012,United States of America
September,93940,United States of America
The Whales of August,94315,United States of America
84 Charing Cross Road,90570,United Kingdom
84 Charing Cross Road,90570,United States of America
House of Games,93223,United States of America
Bagdad Cafe,95801,Germany
The Witches of Eastwick,94332,United States of America
Hard Ticket to Hawaii,93146,United States of America
Baby Boom,92605,United States of America
Moonstruck,93565,United States of America
The Last Emperor,93389,China
The Last Emperor,93389,France
The Last Emperor,93389,Italy
The Last Emperor,93389,United Kingdom
Barbie and the Rockers: Out of This World,313254,United States of America
Hellraiser,93177,United Kingdom
Prince of Darkness,93777,United States of America
Raising Arizona,93822,United States of America
The Chipmunk Adventure,92752,United States of America
Ngati,93615,New Zealand
Evil Dead II,92991,United States of America
Outrageous Fortune,93690,United States of America
Superman IV: The Quest for Peace,94074,United Kingdom
Superman IV: The Quest for Peace,94074,United States of America
Black Widow,90738,United States of America
Dragnet,92925,United States of America
Fatal Attraction,93010,United States of America
Light of Day,93415,United States of America
Hansel and Gretel,93144,United States of America
Broadcast News,92699,United States of America
House II: The Second Story,93220,United States of America
A Nightmare on Elm Street 3: Dream Warriors,93629,United States of America
Creepshow 2,92796,United States of America
Jaws: The Revenge,93300,United States of America
Hope and Glory,93209,United Kingdom
Hope and Glory,93209,United States of America
Adventures in Babysitting,92513,United States of America
Law of Desire,93412,Spain
The Running Man,93894,United States of America
Can't Buy Me Love,92718,United States of America
Deathstalker II,92860,Argentina
Deathstalker II,92860,United States of America
Masters of the Universe,93507,United States of America
Twins,96320,United States of America
Die Hard,95016,United States of America
Beetlejuice,94721,United States of America
Willow,96446,United States of America
Maniac Cop,95583,United States of America
Heathers,97493,United States of America
Mystic Pizza,95690,United States of America
Working Girl,96463,United States of America
Dangerous Liaisons,94947,United Kingdom
Dangerous Liaisons,94947,United States of America
The Student,96523,France
The Student,96523,Italy
Poltergeist III,95889,United States of America
A Fish Called Wanda,95159,United Kingdom
A Fish Called Wanda,95159,United States of America
Women on the Verge of a Nervous Breakdown,95675,Spain
Hairspray,95270,United States of America
Satisfaction,96037,United States of America
Beaches,94715,United States of America
The Accused,94608,Canada
The Accused,94608,United States of America
Big Business,94739,United States of America
Feds,95145,United States of America
The Land Before Time,95489,Ireland
The Land Before Time,95489,United States of America
"Distant Voices, Still Lives",95037,United Kingdom
"Distant Voices, Still Lives",95037,Germany
Scooby-Doo and the Ghoul School,189071,United States of America
Married to the Mob,95593,United States of America
Two Moon Junction,96324,United States of America
Child's Play,94862,United States of America
My Stepmother Is an Alien,95687,United States of America
World Gone Wild,96465,United States of America
Hell Comes to Frogtown,93171,United States of America
Scrooged,96061,United States of America
Crossing Delancey,94921,United States of America
Another Woman,94663,United States of America
Caddyshack II,94824,United States of America
A Nightmare on Elm Street 4: The Dream Master,95742,United States of America
Pumpkinhead,95925,United States of America
Critters 2,94919,United States of America
Gorillas in the Mist,95243,United States of America
"Elvira, Mistress of the Dark",95088,United States of America
The Sisterhood,96114,United States of America
Emmanuelle 6,95094,France
Mystery Train,97940,Japan
Mystery Train,97940,United States of America
The Little Mermaid,97757,United States of America
Kiki's Delivery Service,97814,Japan
Troop Beverly Hills,98519,United States of America
